 DECAY0 generated file: BiPo212.dat                             

  date and hour         :   10.10.2007    15:32: 4
  initial random number :  0
    
  event type: Bi212           
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
 47   4.95855      -180.534       111.932      0.00000    
  3  0.161520      0.813055E-02  0.447784E-02 0.214887E-10
  1  0.774495E-02 -0.685143E-02 -0.108662E-01  0.00000    
      54  15155.9       2
  3  0.235397      -1.83980      -1.74753      0.00000    
 47  -197.969       162.165      -8.87051     0.313197E-06
      55  14539.9       2
  3   1.22667      0.731152     -0.629360      0.00000    
 47   51.5880       194.347      -158.542     0.875858E-06
      56  540.606       3
 47  -137.395      -129.422       97.5624      0.00000    
  3 -0.380472E-01  0.446766E-01 -0.150769     0.180738E-10
  1 -0.474158E-02 -0.113805E-02  0.141853E-01  0.00000    
      57  7775.63       1
 47  -48.5750       4.00103       207.513      0.00000    
      58  907.257       2
  3  0.211764      0.721893      -1.69796      0.00000    
 47  -208.358      -148.463       10.6575     0.145795E-06
      59  1730.89       1
 47   170.963      -121.382       38.4096      0.00000    
      60  3375.72       2
  3  0.996400      0.362046     -0.580865      0.00000    
 47  -235.886      -42.6647      -90.0289     0.301656E-06
      61  5639.84       2
  3   2.06182       1.33186     -0.890832      0.00000    
 47   60.6086      -189.504       161.191     0.413436E-06
      62  554.169       2
  3 -0.551215      -1.43376      0.382694      0.00000    
 47  -128.104      -220.954       18.3453     0.587861E-06
      63  12339.6       3
 47   180.711      -97.3605      -54.8675      0.00000    
  3  0.777249E-01 -0.131545E-01  0.141283     0.165701E-11
  1 -0.993259E-02 -0.575904E-02  0.965283E-02  0.00000    
      64  5648.67       2
  3 -0.230100      0.250530     -0.760083E-01  0.00000    
 47  -55.4472       238.004       76.4704     0.725174E-06
      65  1307.61       3
  3 -0.583258      0.962311     -0.650431      0.00000    
  1  0.522371     -0.892999E-01 -0.497677      0.00000    
 47   6.69463       255.300      -18.5723     0.767116E-07
      66  14288.8       2
  3  -1.07923     -0.999919      0.556989      0.00000    
 47   207.278      -144.978       39.8115     0.222479E-06
      67  17476.4       2
  3  0.626010E-01  0.299447      0.708134E-01  0.00000    
 47  -241.970       73.4418       40.3076     0.112009E-05
      68  621.608       2
  3   1.09303      0.501677E-01  -1.13106      0.00000    
 47  -177.656      -180.690       36.8393     0.227118E-06
      69  2224.81       2
  3   1.44368      -1.72585     -0.353959E-01  0.00000    
 47  -182.364       8.85108      -179.535     0.465418E-06
      70  2901.52       2
  3  0.668547      -1.08620      -1.20684      0.00000    
 47  -131.235      -101.581      -195.004     0.571337E-06
      71  17654.2       2
  3  0.954031     -0.854470       2.12551      0.00000    
 47   171.082      -180.802       60.0789     0.129185E-06
      72  13343.1       3
 47  -20.1409       208.302      -36.7456      0.00000    
  3  0.964743E-01  0.928776E-01 -0.907822E-01 0.416792E-11
  1 -0.436199E-02  0.118201E-01  0.813986E-02  0.00000    
      73  1015.83       2
  3 -0.138134      -1.34463     -0.910235      0.00000    
 47  -239.529      -90.0785      -8.92634     0.744555E-06
      74  10801.7       2
  3  0.480256      -2.07448      0.208425      0.00000    
 47   152.489       202.760      -34.6927     0.357737E-06
      75  2939.74       3
 47  -176.702      -102.878      -57.7792      0.00000    
  3 -0.571124E-01  0.124277     -0.864193E-01 0.310874E-11
  1  0.650919E-02  0.127717E-01  0.441750E-02  0.00000    
      76  20519.0       3
 47   144.418      -153.208      -28.5778      0.00000    
  3  0.152271E-01 -0.160168     -0.170060E-01 0.179399E-10
  1  0.691792E-02 -0.134494E-02  0.132414E-01  0.00000    
      77  6878.12       2
  3  0.251312      0.235959E-01  0.637239      0.00000    
 47   142.523       2.91130       212.713     0.311803E-06
      78  1499.72       4
  3  0.279469      0.712365E-02 -0.333576      0.00000    
  1 -0.302260      0.178138      0.703351      0.00000    
  1 -0.310510      0.249769     -0.608053      0.00000    
 47  -176.373       185.619      -2.50448     0.627003E-07
      79  4911.04       3
 47  -99.5200       162.573      -93.8700      0.00000    
  3  0.108199      0.745150E-01  0.944216E-01 0.469430E-11
  1  0.976784E-02 -0.886456E-02  0.714205E-02  0.00000    
      80  2460.20       2
  3   1.79234      -1.51761      0.797272E-01  0.00000    
 47  -204.051       26.3367       152.439     0.105695E-06
      81  21159.7       2
  3  0.182766      0.164146      0.237866      0.00000    
 47   149.378      -140.972      -152.908     0.318668E-06
      82  1815.68       2
  3  0.769660     -0.332603       1.24230      0.00000    
 47  -38.1642      -191.553      -165.586     0.277451E-06
      83  5565.90       2
  3  0.115617E-01  -1.62869      -1.14864      0.00000    
 47  -24.5252      -119.005       225.398     0.921398E-07
      84  19031.3       3
 47  -112.645       173.389       48.9207      0.00000    
  3  0.535709E-01 -0.376468E-01 -0.147945     0.356705E-11
  1  0.504649E-04 -0.141923E-01  0.485557E-02  0.00000    
      85  13223.9       1
 47   200.522      -60.5284       39.5489      0.00000    
      86  1485.48       2
  3  -1.49321       1.64979     -0.694480      0.00000    
 47  -67.5425       227.979       95.0335     0.280960E-06
      87  3216.53       2
  3  0.772401      -1.41202      0.877475      0.00000    
 47  -189.077       62.4762       160.980     0.282541E-06
      88  9014.47       2
  3  0.396358     -0.618031       1.19937      0.00000    
 47   75.8216       167.631      -178.098     0.349675E-06
      89  5795.79       3
 47   44.3578      -133.740       159.034      0.00000    
  3 -0.237359E-01  0.149813     -0.562808E-01 0.429669E-11
  1  0.446155E-02  0.132726E-01 -0.537891E-02  0.00000    
      90  7069.99       2
  3 -0.951259      0.900480      0.526709      0.00000    
 47  -193.785      -164.111      -32.9049     0.288561E-06
      91  13200.6       2
  3   2.14531      0.727700      0.340502      0.00000    
 47  -2.36608       150.352       207.260     0.531680E-07
      92  481.007       2
  3 -0.390483      -1.29028     -0.964721      0.00000    
 47   165.794      -98.6452      -168.373     0.635006E-06
      93  4264.99       2
  3  0.737978     -0.193826     -0.474624      0.00000    
 47   230.464      -1.06704       111.593     0.184573E-07
      94  15153.6       2
  3 -0.331665     -0.212544      -1.87114      0.00000    
 47   104.093       189.280       137.498     0.151159E-06
      95  3074.16       3
 47   40.3097      -197.655      -66.7343      0.00000    
  3  0.107724      0.457856E-02  0.120621     0.480566E-11
  1  0.341792E-02  0.131423E-01  0.637165E-02  0.00000    
      96  2225.59       2
  3  0.935259     -0.179442      0.957487      0.00000    
 47   131.662       85.7406       202.192     0.974137E-06
      97  2792.99       2
  3  -2.15339      0.378630      0.157691      0.00000    
 47  -160.486       143.681      -138.448     0.370342E-06
      98  6935.30       3
 47   110.991       180.519      -15.4849      0.00000    
  3  0.108947E-01  0.160447     -0.176944E-01 0.114618E-11
  1  0.137490E-02 -0.148787E-01  0.131660E-02  0.00000    
      99  3255.58       2
  3 -0.508564      0.259052       2.57123      0.00000    
 47  -226.097      -10.3744       119.751     0.394217E-06
     100  4447.07       2
  3 -0.571983       1.17404      0.322861      0.00000    
 47  -26.0331      -19.0012       254.026     0.821318E-07
     101  1495.88       1
 47   194.408      -65.9466       57.3906      0.00000    
     102  16833.5       2
  3  -1.18806     -0.160553     -0.442997      0.00000    
 47  -231.907      -28.5745       104.740     0.418079E-07
     103  2361.90       2
  3  -1.61539       1.84007     -0.230193      0.00000    
 47  -22.9108       173.529       186.897     0.813146E-06
     104  7051.46       2
  3  0.902688E-01 -0.490704      0.265704      0.00000    
 47   160.784       158.573       120.711     0.929585E-07
     105  17770.3       3
 47  -32.7285       115.420       175.365      0.00000    
  3 -0.116033E-02 -0.153475      0.511754E-01 0.122400E-11
  1 -0.651604E-02  0.132221E-01  0.277811E-02  0.00000    
     106  2160.15       2
  3  -1.36337      -1.01067      0.924372      0.00000    
 47   102.893      -22.6268      -233.386     0.124803E-06
     107  4677.67       2
  3   1.34720     -0.990266     -0.235485      0.00000    
 47  -189.387      -169.488      -31.2143     0.253589E-06
     108  971.581       2
  3   1.74112      0.472656      0.355490      0.00000    
 47   120.142       121.577       190.664     0.625059E-06
     109  2862.77       2
  3  -1.10285     -0.485234     -0.911496      0.00000    
 47   4.23658       200.806       158.830     0.116564E-05
     110  1901.55       2
  3   1.57306       2.15726      0.408497      0.00000    
 47   244.454       20.1777      -73.5052     0.194846E-05
     111  7379.64       2
  3   1.30415       1.46458      0.289084      0.00000    
 47   155.536      -111.772       169.951     0.996234E-06
     112  4823.15       1
 47  -131.499       59.1729      -156.983      0.00000    
     113  2985.78       3
 47  -72.4035       4.23166       199.714      0.00000    
  3  0.120499     -0.765430E-01  0.761326E-01 0.509651E-11
  1 -0.100402E-01 -0.101596E-01 -0.458010E-02  0.00000    
     114  2644.26       2
  3  0.442277      0.576773      0.563695      0.00000    
 47  -39.4251      -148.578      -204.788     0.184173E-06
     115  1670.48       2
  3 -0.304619       1.11966      0.396533      0.00000    
 47   11.6017      -52.9247       250.264     0.244792E-06
     116  3310.16       1
 47  -178.781       41.4545       108.425      0.00000    
     117  5800.38       2
  3 -0.382913      0.153053     -0.190791      0.00000    
 47  -31.4231       244.445      -69.4773     0.294708E-06
     118  1335.60       3
 47  -123.080      -30.5648      -160.902      0.00000    
  3  0.146357     -0.528101E-01 -0.723098      0.00000    
  1 -0.150677E-01 -0.656239E-01 -0.535020E-01  0.00000    
     119  9021.70       3
 47  -199.689       70.9270       15.4729      0.00000    
  3 -0.183538E-01  0.157343     -0.328807E-01 0.115485E-10
  1  0.145029E-01  0.376943E-02  0.676078E-03  0.00000    
     120  3721.53       2
  3 -0.240007      0.730737      0.317012      0.00000    
 47   134.972      -160.621      -146.804     0.586826E-06
     121  1536.04       3
 47  -22.6401      -146.074       152.629      0.00000    
  3 -0.107617      0.106637      0.567640E-01 0.339333E-10
  1 -0.151007E-02 -0.993358E-02  0.111375E-01  0.00000    
     122  1479.30       3
 47  -153.653      -142.279      -35.9622      0.00000    
  3 -0.370978E-01  0.135372      0.804565E-01 0.130006E-10
  1  0.125983E-01  0.230255E-02 -0.780899E-02  0.00000    
     123  1870.12       3
 47   201.847       20.6139      -63.0778      0.00000    
  3 -0.718921E-01  0.113880     -0.896533E-01 0.324392E-10
  1  0.115373E-01  0.955178E-02  0.808323E-03  0.00000    
     124  822.247       2
  3  0.356403      0.304808      -1.45345      0.00000    
 47  -232.016       90.1438       60.0863     0.315539E-06
     125  5031.65       2
  3 -0.933395      0.560605      0.332366      0.00000    
 47  -149.604      -172.809       115.427     0.291176E-06
     126  1994.25       1
 47   114.026      -48.9965       173.304      0.00000    
     127  4638.27       2
  3   1.29554     -0.771166       1.11104      0.00000    
 47   123.731       221.051       37.3504     0.434418E-06
     128  3395.56       2
  3  -1.79245      0.849857      0.282601      0.00000    
 47  0.819004       204.383       154.255     0.641745E-06
     129  513.289       3
 47  -180.309       13.4330      -111.598      0.00000    
  3 -0.111009     -0.820333E-01  0.843943E-01 0.138809E-10
  1  0.187439E-02  0.877111E-02 -0.120231E-01  0.00000    
     130  2804.57       3
  3 -0.368066     -0.755106E-01 -0.782564      0.00000    
  1  0.112768       1.50577     -0.589563      0.00000    
 47  -229.596       113.362       1.53880     0.422487E-07
     131  2721.42       1
 47   118.103       157.956      -80.8605      0.00000    
     132  1439.54       2
  3 -0.305064       1.81753      0.628722      0.00000    
 47   183.320       114.714       137.121     0.278443E-06
     133  4192.61       2
  3  0.191109      0.784669     -0.732507E-01  0.00000    
 47  -36.1759      -253.473       3.29261     0.886778E-06
     134  32928.4       2
 47  -98.1745      -140.331      -125.757      0.00000    
  1  0.253873E-01 -0.727633E-02 -0.300423E-01 0.305257E-11
     135  2261.25       2
  3 -0.875656E-01  0.561768      0.164476E-01  0.00000    
 47   49.2928       82.4206       237.371     0.422463E-06
     136  4877.88       2
  3  -1.07184      0.317814      0.371872      0.00000    
 47   85.9170       207.423      -123.134     0.383386E-06
     137  188.835       2
  3  -1.40159      0.185658      0.556304      0.00000    
 47  -126.614       30.4023      -220.482     0.221965E-06
     138  5113.15       3
  3 -0.350959E-01 -0.489570      0.556424      0.00000    
  1   1.49061     -0.605689      0.197163      0.00000    
 47   138.853      -150.585      -153.662     0.228872E-06
     139  6188.01       2
  3 -0.432848      0.162493      0.207904E-02  0.00000    
 47   31.1340      -92.6785       236.663     0.344880E-06
     140  8860.28       2
  3  0.491535      0.979158E-01  0.488288      0.00000    
 47   82.6467       25.3156       241.032     0.317872E-06
     141  7624.73       2
  3 -0.916826       1.79610       1.11242      0.00000    
 47   170.134       186.940       40.9332     0.481568E-06
     142  3468.56       2
  3 -0.183987      -2.01867      -1.71047      0.00000    
 47  -83.9218      -76.3549      -229.554     0.723257E-07
     143  2072.69       2
  3 -0.142301      0.933212      0.503328      0.00000    
 47  -113.433      -201.458      -110.070     0.856141E-06
     144  13382.7       2
  3  -1.66721     -0.238399       1.70966      0.00000    
 47   89.9276       221.006      -92.9378     0.413179E-06
     145  13376.4       3
 47   204.969       43.7800       34.8814      0.00000    
  3  0.458361E-01 -0.154888     -0.914148E-02 0.100539E-12
  1 -0.510062E-02  0.113483E-01 -0.837854E-02  0.00000    
     146  2298.86       2
  3 -0.107659      -1.33485      0.226510      0.00000    
