 DECAY0 generated file: Pb212.dat                               

  date and hour         :   10.10.2007    15:46:58
  initial random number :  0
    
  event type: Pb212           
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
  3  0.221432E-01 -0.156833      0.414478E-02 0.499064E-10
  1  0.443761E-01 -0.687968E-01 -0.397336E-01  0.00000    
      55  98163.5       3
  3  0.574950     -0.158691     -0.281177      0.00000    
  3 -0.370914      0.487773E-01 -0.182218     0.295517E-11
  1 -0.200351E-02 -0.541386E-01 -0.731163E-01  0.00000    
      56  49283.5       2
  3 -0.284449      0.358259      0.217461      0.00000    
  1 -0.146214E-01 -0.238548      0.146717E-02 0.920083E-12
      57  21654.9       2
  3  0.550247     -0.151838      0.286039      0.00000    
  1 -0.111230     -0.204077      0.556904E-01 0.323253E-12
      58  93172.8       1
  3 -0.117841     -0.972507E-02 -0.755728      0.00000    
      59  20378.6       2
  3 -0.176049      0.403073E-01  0.249200      0.00000    
  1 -0.127657     -0.161484E-01 -0.201405     0.668604E-12
      60  23364.3       1
  3 -0.129891     -0.753125E-01  0.126233      0.00000    
      61  59506.8       3
  3  0.183027      0.449736      0.132642      0.00000    
  3  0.146893      0.346394      0.177745     0.151177E-11
  1  0.164523E-01 -0.881542E-01 -0.154648E-01  0.00000    
      62  134782.       3
  3  0.236737E-03 -0.172624     -0.425758      0.00000    
  3  0.168385     -0.257111     -0.280536     0.202428E-11
  1 -0.438999E-01 -0.101799E-01  0.790580E-01  0.00000    
      63  39682.8       3
  3 -0.308824     -0.286130      0.159384      0.00000    
  3  0.336846     -0.235603      0.646974E-01 0.480650E-11
  1 -0.251492E-01 -0.872204E-01  0.641205E-02  0.00000    
      64  178571.       1
  3  0.335646      0.169760      0.354374E-01  0.00000    
      65  47769.0       1
  3 -0.479100     -0.275827E-01  0.687765      0.00000    
      66  271879.       3
  3 -0.419681      0.203753     -0.151403      0.00000    
  3  0.327561     -0.596710E-01 -0.249606     0.356089E-11
  1  0.583800E-01 -0.697906E-01 -0.143136E-02  0.00000    
      67  59623.4       3
  3 -0.395268      0.260170      0.383579      0.00000    
  3 -0.122505      0.281266     -0.281143     0.245285E-12
  1 -0.889663E-02  0.885313E-01 -0.190803E-01  0.00000    
      68  7015.59       4
  3  0.293083     -0.211422      0.657822E-01  0.00000    
  1 -0.111241E-01 -0.201074     -0.222363      0.00000    
  3  0.715712E-01  0.385186E-01  0.136007     0.502734E-11
  1 -0.862604E-02  0.892128E-01 -0.157376E-01  0.00000    
      69  49445.7       3
  3 -0.168169      0.455704      0.313817      0.00000    
  3 -0.316541      0.268394      0.304394E-01 0.908141E-12
  1 -0.534054E-01 -0.601636E-01 -0.425347E-01  0.00000    
      70  13781.3       2
  3  0.328611      0.339351     -0.417527E-01  0.00000    
  1  0.193337E-02 -0.165229      0.172675     0.347018E-12
      71  43967.9       2
  3 -0.176806     -0.845205E-01  0.119884      0.00000    
  1 -0.198760     -0.115721     -0.649921E-01 0.416608E-12
      72  63215.6       2
  3 -0.911734E-01  0.121035      0.519433      0.00000    
  1  0.121275      0.105276     -0.177004     0.817945E-12
      73  69786.0       2
  3  0.217645     -0.423134E-01  0.416588      0.00000    
  1  0.147303     -0.154673     -0.107233     0.270734E-11
      74  11233.9       5
  3  0.422244E-01  0.862516E-03  0.630192E-01  0.00000    
  3  0.400595      0.123594      0.285528      0.00000    
  1 -0.110380E-01  0.345940E-02  0.902618E-01  0.00000    
  3 -0.205041E-01  0.248513E-01  0.155132     0.101438E-10
  1  0.853739E-01  0.292756E-01 -0.116290E-01  0.00000    
      75  51725.2       1
  3 -0.846294     -0.260125E-01  0.187108      0.00000    
      76  202745.       2
  3 -0.678217E-01  0.199500      0.289001      0.00000    
  1 -0.134120     -0.752831E-01 -0.182935     0.193274E-11
      77  25917.3       3
  3 -0.303988     -0.742838E-01 -0.385455      0.00000    
  3  0.847884E-01 -0.407040      0.170021E-01 0.230514E-11
  1  0.899314E-01  0.100472E-01 -0.961260E-02  0.00000    
      78  61513.3       5
  3  0.167054      0.236706      0.129259E-01  0.00000    
  3 -0.913124E-01 -0.333126     -0.371440      0.00000    
  1  0.128098E-01 -0.900008E-01  0.409520E-02  0.00000    
  3  0.813645E-01 -0.351611E-01  0.131330     0.742345E-11
  1 -0.135629E-01 -0.680746E-01 -0.588463E-01  0.00000    
      79  58634.8       3
  3  0.143843      0.556814     -0.334036      0.00000    
  3  0.132799     -0.350302     -0.181142     0.406186E-11
  1  0.857501E-01  0.144494E-01  0.268166E-01  0.00000    
      80  169058.       3
  3  0.127360     -0.895015E-01 -0.351726      0.00000    
  3  0.139998E-02 -0.393717      0.134702     0.363693E-11
  1  0.778708E-01  0.701393E-03 -0.470812E-01  0.00000    
      81  2640.42       2
  3 -0.418248      0.412518E-01 -0.379298      0.00000    
  1 -0.153097      0.169151     -0.712042E-01 0.939667E-12
      82  67304.2       3
  3 -0.443470     -0.921219E-01 -0.111749      0.00000    
  3  0.175337     -0.320532      0.199189     0.944952E-12
  1 -0.671945E-01  0.222029E-01  0.572095E-01  0.00000    
      83  94964.3       2
  3  0.451634      0.990813E-01 -0.430603      0.00000    
  1 -0.173511      0.629840E-01  0.151815     0.238267E-12
      84  61056.7       2
  3  0.606951E-01  0.612765E-01 -0.138772      0.00000    
  1 -0.107295     -0.207141     -0.519751E-01 0.233360E-11
      85  21369.2       2
  3 -0.545644      0.212221     -0.142137      0.00000    
  1 -0.927663E-01  0.220184     -0.585416E-02 0.708787E-12
      86  31623.4       2
  3  0.189431     -0.419534     -0.472375      0.00000    
  1 -0.136661      0.688972E-01 -0.183570     0.198562E-11
      87  129907.       1
  3 -0.440842     -0.127524     -0.386584      0.00000    
      88  19455.9       3
  3  0.136976     -0.253775      0.327964E-01  0.00000    
  3 -0.149651      0.318247      0.222448     0.188242E-11
  1  0.747356E-01 -0.196289E-01 -0.480656E-01  0.00000    
      89  2364.51       1
  3  0.149308     -0.795881E-01 -0.403419      0.00000    
      90  23490.7       2
  3 -0.104151     -0.353449      0.323752      0.00000    
  1 -0.209021     -0.775240E-01  0.861475E-01 0.198047E-11
      91  13587.4       2
  3  0.356517      0.366615     -0.764991E-01  0.00000    
  1 -0.532275E-01  0.221025     -0.737290E-01 0.545578E-12
      92  32090.4       2
  3  0.246201      0.319430      0.521301      0.00000    
  1  0.185783      0.144463     -0.416676E-01 0.141763E-12
      93  10757.1       2
  3 -0.454675      0.104539      0.719574E-01  0.00000    
  1  0.269397E-01 -0.209632      0.111578     0.392755E-11
      94  21827.9       3
  3  0.312422E-01  0.460104     -0.507413E-01  0.00000    
  3  0.381420E-01 -0.412760      0.365246E-01 0.895374E-12
  1  0.690029E-01 -0.103799E-01  0.584111E-01  0.00000    
      95  1853.40       2
  3 -0.330299      0.236929     -0.593344E-02  0.00000    
  1 -0.213942      0.103362     -0.258092E-01 0.105498E-11
      96  48841.8       2
  3  0.158188     -0.302762     -0.699806E-01  0.00000    
  1  0.189388E-02 -0.159539      0.177946     0.693475E-13
      97  2953.87       2
  3 -0.788060E-01  0.841016E-01  0.271590E-01  0.00000    
  1 -0.222165     -0.300232E-01 -0.828395E-01 0.139826E-12
      98  36188.5       2
  3  0.166234      0.273200     -0.400852      0.00000    
  1 -0.156985      0.178819     -0.223703E-01 0.271955E-11
      99  72172.8       2
  3  0.149729     -0.126271      0.241384      0.00000    
  1  0.381658E-01 -0.207471      0.112340     0.310898E-12
     100  115401.       2
  3  0.867063E-01  0.469578E-01  0.445917E-01  0.00000    
  1 -0.205636      0.263023E-01 -0.118925     0.154859E-11
     101  7814.01       3
  3 -0.101392     -0.286102      0.255896      0.00000    
