 DECAY0 generated file: BiPo214.dat                             

  date and hour         :   10.10.2007    15:34:51
  initial random number :  0
    
  event type: Bi214           
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
 1 10000
  1 -0.417792     -0.387090      0.215622      0.00000    
 47  -78.5220       41.7257       222.391     0.122252E-03
      42  601.356       3
  3 -0.455105      0.389967      0.970971      0.00000    
  1   1.42956      -1.20933      -1.57689      0.00000    
 47   34.4357       21.8391       236.012     0.210815E-03
      43  261.078       4
  3 -0.306624     -0.171698     -0.992403      0.00000    
  1  0.718524     -0.858961     -0.176167E-01  0.00000    
  1 -0.433722      0.210508E-01 -0.426993      0.00000    
 47   93.4753       216.568      -41.5328     0.131111E-03
      44  1987.84       2
  3  0.343057     -0.319025       1.19400      0.00000    
 47   191.103      -137.856       42.8928     0.685730E-04
      45  212.872       4
  3  0.947172      0.509755       1.79991      0.00000    
  1 -0.646358     -0.390358      0.140232      0.00000    
  1  0.112950     -0.580962     -0.143551      0.00000    
 47   104.594      -208.686       53.6160     0.280484E-03
      46  1324.85       4
  3  0.677233       1.39319     -0.178539      0.00000    
  1 -0.861706     -0.244618      0.672329      0.00000    
  1  0.321302      0.382261     -0.348601      0.00000    
 47   142.631       189.652      -32.4499     0.188595E-03
      47  965.360       4
  3 -0.509829E-02 -0.994310      0.387215      0.00000    
  1  0.321554      0.630922      0.218224      0.00000    
  1  0.699234      0.606989      -1.02055      0.00000    
 47   22.5421      -237.113      -25.1756     0.134388E-03
      48  3570.04       4
  3 -0.607788E-01 -0.373662      0.364687      0.00000    
  1  0.881677      0.197898      0.264361E-01  0.00000    
  1  0.113159E-01  -1.34527     -0.755625      0.00000    
 47  -29.0517       9.10501       237.566     0.721609E-03
      49  213.918       5
  3 -0.481906     -0.204582      0.115607      0.00000    
  1 -0.488351      0.513952     -0.693456E-02  0.00000    
  1  0.342170       1.28090      0.455859      0.00000    
  1 -0.115482      0.339694      0.492090      0.00000    
 47   155.966      -141.543       114.039     0.371978E-03
      50  807.887       4
  3   1.32400      -1.12106      0.588946E-01  0.00000    
  1  0.871491E-01  0.282278       1.08034      0.00000    
  1 -0.121118      0.225231      0.552705      0.00000    
 47   137.965       195.489       10.6752     0.171821E-03
      51  220.973       4
  3 -0.990199      0.140933      -1.66311      0.00000    
  1 -0.829063     -0.134578     -0.408532      0.00000    
  1 -0.281815      0.408623     -0.352829      0.00000    
 47   51.8019       200.524      -120.296     0.450722E-05
      52  410.054       4
  3 -0.867648E-01  0.115325      0.309201      0.00000    
  1  0.405886      0.377206     -0.751883      0.00000    
  1 -0.276012     -0.448952     -0.305189      0.00000    
 47   204.953       1.84604      -123.916     0.257010E-03
      53  82.3063       3
  3  0.904827      -1.53012      0.802591      0.00000    
  1  -1.24659     -0.168261      0.562662      0.00000    
 47  -216.394      -101.460      -15.6148     0.274246E-03
      54  824.096       2
  3 -0.933352      0.308406      0.794657      0.00000    
 47   194.902      -136.065       29.3904     0.407337E-03
      55  5805.99       3
  3  0.457396     -0.648529      0.284533      0.00000    
  1  0.460122      -1.38728       1.64966      0.00000    
 47  -107.524      -207.582      -52.0858     0.185656E-04
      56  2786.31       4
  3  -1.46809      0.570996     -0.382430      0.00000    
  1  -1.20306     -0.927609E-01 -0.276902      0.00000    
  1  0.186994      0.103941     -0.570185      0.00000    
