 DECAY0 generated file: Tl208.dat                               

  date and hour         :   10.10.2007    15:45:24
  initial random number :  0
    
  event type: Tl208           
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
 1 10000
      50  32.8187       3
  3  0.120587      0.413503E-01 -0.164254E-01  0.00000    
  1  0.548983     -0.624936      0.222249     0.394383E-11
  1   2.09722      0.338997       1.52478     0.501555E-10
      51  86.4860       3
  3 -0.231599     -0.129999     -0.315893      0.00000    
  1 -0.342827     -0.769565     -0.177653     0.984307E-12
  1   1.99455      -1.68882      0.887221E-01 0.113119E-10
      52  194.204       4
  3 -0.307098E-01  0.571082E-01  0.140140      0.00000    
  1  0.294353      0.417083      0.227758E-01  0.00000    
  1  0.159405     -0.505951     -0.241852     0.609502E-10
  1  -1.33425      0.189901      -2.24097     0.309883E-11
      53  649.724       4
  3 -0.799549       1.15932      -1.00103      0.00000    
  3 -0.265739     -0.653666      0.503008     0.121383E-09
  1  0.164754E-01 -0.673819E-01 -0.541501E-01  0.00000    
  1  0.782262      0.309020       2.47604     0.481174E-10
      54  808.479       5
  3  0.320923     -0.225527     -0.886284      0.00000    
  3 -0.136829      0.221259      0.401498     0.377850E-10
  1  0.202530E-02 -0.370638E-01 -0.797883E-01  0.00000    
  1  0.998800E-02 -0.470116     -0.344645     0.307485E-09
  1 -0.691916       2.42409      0.695184     0.199614E-10
      55  172.128       5
  3 -0.764678     -0.358533     -0.551785E-01  0.00000    
  3  0.201582     -0.368511      0.229005     0.377981E-11
  1 -0.649793E-01  0.214710E-01  0.553235E-01  0.00000    
  1 -0.292550      0.183025     -0.469899     0.349530E-09
  1  0.737046      -1.14926       2.23029     0.374234E-10
      56  449.682       3
  3  0.695238      0.360691     -0.590401      0.00000    
  1  0.463395     -0.237343      0.262341     0.167380E-09
  1  0.777797       2.31386     -0.937724     0.622221E-10
      57  47.5645       3
  3 -0.807619      0.764507      0.447176      0.00000    
  1 -0.441208     -0.373647     -0.749176E-01 0.106737E-08
  1   1.86112     -0.785562      -1.66053     0.706538E-11
      58  781.083       3
  3  0.832404      0.567953      -1.46976      0.00000    
  1 -0.632563     -0.182984     -0.554709     0.203174E-11
  1  0.188251       1.44966      -2.16824     0.867045E-11
      59  214.868       3
  3 -0.504458E-01  0.375973     -0.879586      0.00000    
  1  0.305510E-01 -0.823116E-02 -0.582141     0.536766E-09
  1  0.892511     -0.475750      -2.41150     0.196246E-10
      60  708.205       3
  3  0.906506       1.64835       1.19741      0.00000    
  1 -0.215292      0.459202      0.287526     0.104289E-09
  1 -0.259334     -0.341193       2.57964     0.951865E-10
      61  146.717       5
  3 -0.282466     -0.654058     -0.853918E-01  0.00000    
